ip,country,city,asn,isp,org,ports,threat_names,source,last_scan
136.248.245.36,Chile,Colina,AS31898,ORACLE-BMC-31898 - Oracle Corporation,unknown,3333,GoPhish,censys,2026-03-05_06-44-04
144.22.192.165,Brazil,São Paulo,AS31898,Oracle Corporation,Oracle Corporation,8443,GoPhish,shodan,2026-03-05_17-43-56
144.22.207.61,Brazil,São Paulo,AS31898,Oracle Corporation,Oracle Corporation,8443,GoPhish,shodan,2026-02-18_07-41-20
146.235.38.234,Brazil,São Paulo,AS31898,ORACLE-BMC-31898 - Oracle Corporation,unknown,5038,DCRat,censys,2026-03-05_11-10-21
147.28.223.190,Mexico,La Cañada,AS54825,"Packet Host, Inc.","Equinix Services, Inc.",31337,Sliver,shodan,2026-01-04_18-32-22
147.45.116.18,Brazil,São Paulo,AS215540,GLOBAL CONNECTIVITY SOLUTIONS LLP,GLOBAL CONNECTIVITY SOLUTIONS LLP,31337,Sliver,shodan,2026-01-22_09-40-58
147.93.9.173,Brazil,São Paulo,AS47583,AS-HOSTINGER,unknown,443,Havoc,censys,2026-03-05_08-16-01
148.230.153.56,Mexico,Torreón,AS22884,TOTAL PLAY TELECOMUNICACIONES SA DE CV,unknown,3333,GoPhish,censys,2026-02-04_23-22-09
149.130.165.200,Colombia,Cota,AS31898,ORACLE-BMC-31898 - Oracle Corporation,unknown,9000,Quasar,censys,2026-03-04_18-58-45
149.50.137.180,Argentina,Rosario,AS27823,Dattatec.com,DATTATEC.COM S.R.L.,2087,GoPhish,shodan,2026-02-19_17-24-34
15.228.3.86,Brazil,São Paulo,AS16509,"Amazon.com, Inc.",Amazon Data Services Brazil,80,Cobalt Strike,shodan,2026-01-06_03-05-38
150.187.25.242,"Venezuela, Bolivarian Republic of",Barquisimeto,AS20312,Fundación Centro Nacional de Innovación Tecnológica (CENIT),Fundación Centro Nacional de Innovación Tecnológica (CENIT),9999,Cobalt Strike,shodan,2026-03-05_16-09-27
152.203.25.225,Colombia,Bucaramanga,AS3816,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,unknown,8080,GoPhish,censys,2026-01-27_11-49-19
152.67.58.223,Brazil,São Paulo,AS31898,ORACLE-BMC-31898 - Oracle Corporation,unknown,8080,Hack5 Cloud C2,censys,2026-03-05_12-01-56
156.244.39.44,Peru,Lima,AS138915,Kaopu Cloud HK Limited,Lightnode Limited,1604;11434,CHAOS;CHAOS,shodan,2026-01-09_17-34-42
157.151.4.17,Brazil,Vinhedo,AS31898,ORACLE-BMC-31898 - Oracle Corporation,unknown,3333,GoPhish,censys,2026-03-05_07-01-48
161.132.220.65,Peru,Lima,AS27843,WIN EMPRESAS S.A.C.,unknown,8080,Quasar,censys,2026-03-05_13-10-18
161.132.51.222,Peru,Lima,AS3132,Red Cientifica Peruana,unknown,3333,GoPhish,censys,2026-03-05_07-28-38
161.132.54.23,Peru,Lima,AS3132,Red Cientifica Peruana,unknown,8081,GoPhish,censys,2026-01-07_01-42-12
167.234.226.89,Brazil,São Paulo,AS31898,Oracle Corporation,Oracle Corporation,443,GoPhish,shodan,2026-03-05_16-39-55
168.138.128.79,Brazil,São Paulo,AS31898,ORACLE-BMC-31898 - Oracle Corporation,unknown,3333,GoPhish,censys,2026-03-05_10-10-33
168.138.131.15,Brazil,São Paulo,AS31898,ORACLE-BMC-31898 - Oracle Corporation,unknown,80,Quasar,censys,2026-03-05_04-55-17
170.231.155.101,Brazil,Varginha,AS263424,Fonelight Telecomunicações S/A,Fonelight Telecomunicações S/A,3790,Metasploit,shodan,2025-12-26_00-53-40
170.239.86.183,Chile,Santiago,AS52368,ZAM LTDA.,ZAM LTDA.,3333;3333,GoPhish;GoPhish,shodan,2025-12-15_03-08-50
170.239.86.232,Chile,Santiago,AS52368,ZAM LTDA.,ZAM LTDA.,3333;3333,GoPhish;GoPhish,shodan,2025-12-30_12-46-13
172.233.1.83,Brazil,São Paulo,AS63949,AKAMAI-LINODE-AP Akamai Connected Cloud,unknown,443,Havoc,censys,2026-01-09_16-14-23
172.233.15.195,Brazil,São Paulo,AS63949,Akamai Connected Cloud,Linode,8888,Supershell,shodan,2026-02-03_23-45-25
172.233.25.95,Brazil,São Paulo,AS63949,AKAMAI-LINODE-AP Akamai Connected Cloud,unknown,3333,GoPhish,censys,2026-03-05_12-10-35
172.233.27.101,Brazil,São Paulo,AS63949,Akamai Connected Cloud,Linode,953,CHAOS,shodan,2026-01-29_14-45-19
177.104.176.211,Brazil,São Paulo,AS53107,EVEO S.A.,unknown,8080,GoPhish,censys,2026-02-27_18-10-23
177.104.188.108,Brazil,São Paulo,AS53107,EVEO S.A.,unknown,3333,GoPhish,censys,2026-02-23_08-09-19
177.124.72.24,Brazil,Belo Horizonte,AS52601,FAXT TELECOMUNICACOES LTDA,FAXT TELECOMUNICACOES LTDA,31337;11180,Sliver;UnamWebPanel,shodan,2026-03-05_17-24-15
177.126.168.209,Brazil,São Paulo,AS15830,EQUINIX,unknown,3333,GoPhish,censys,2026-03-05_11-10-32
177.136.225.181,Brazil,São Paulo,AS53107,EVEO S.A.,unknown,10035,Cobalt Strike,censys,2026-03-05_07-41-21
177.89.234.43,Brazil,Natal,AS28220,Alares Cabo Servicos de Telecomunicacoes S.A.,CABO SERVICOS DE TELECOMUNICACOES LTDA,1177,njRat,shodan,2026-01-31_13-46-48
179.0.178.198,Brazil,Belo Horizonte,AS270564,MASTER DA WEB DATACENTER LTDA,unknown,1080,Quasar,censys,2026-01-13_03-18-32
179.0.178.79,Brazil,Belo Horizonte,AS270564,MASTER DA WEB DATACENTER LTDA,unknown,1080,Quasar,censys,2026-01-02_19-13-48
179.151.242.232,Brazil,São Paulo,AS26599,TELEFONICA BRASIL S.A,unknown,9090,GoPhish,censys,2026-02-25_07-59-13
18.231.69.245,Brazil,São Paulo,AS16509,"AMAZON-02 - Amazon.com, Inc.",unknown,8080,GoPhish,censys,2026-02-09_12-59-27
18.231.78.171,Brazil,São Paulo,AS16509,"AMAZON-02 - Amazon.com, Inc.",unknown,443,Quasar,censys,2026-03-05_05-59-35
181.162.184.56,Chile,Rancagua,AS7418,TELEFONICA CHILE S.A.,unknown,8080,Quasar,censys,2026-02-17_01-35-32
181.174.164.116,Panama,Panamá,AS52469,Offshore Racks S.A,Offshore Racks S.A,31337,Sliver,shodan,2026-01-20_20-44-09
181.174.165.127,Panama,Panamá,AS52469,Offshore Racks S.A,Offshore Racks S.A,3333,GoPhish,shodan,2026-03-05_12-01-16
181.174.165.128,Panama,Panamá,AS52469,Offshore Racks S.A,Offshore Racks S.A,3333,GoPhish,shodan,2026-03-05_12-01-02
181.176.215.140,Peru,Lima,AS262210,VIETTEL PERU S.A.C.,unknown,80,GoPhish,censys,2026-01-27_18-23-44
